"Topic","Type of topic","BL record ID","Type of resource","Content type","Material type","BNB number","ISBN","Name","Dates associated with name","Type of name","Role","All names","Title","Variant titles","Series title","Number within series","Country of publication","Place of publication","Publisher","Date of publication","Edition","Physical description","Dewey classification","BL shelfmark","Genre","Languages","Notes"
"Wales","general term","007237332","Monograph","Language material ; Text","Sheet","GB9485486","","","","","","Taff Trail Project [organisation]","The Taff trail : for walkers and cyclists. Talybont-on-Usk - Brecon","Llwybt taith Tâf : i gerddwyr a beicwyr","","","Wales","Aberdare","","1993","","1 sheet (8 pages)","914.294","YK.1996.a.15183","","English",""
"Wales","general term","010079828","Monograph","Language material ; Text","Volume","GB96Y5199","9780575600782","Chadbourn, Mark","","person","","Chadbourn, Mark [person]","Testimony","","","","England","London","Vista","1996","","250 pages, 8 pages of plates, illustrations, portraits, 18 cm","133.129429","YK.1996.a.23206","","English",""
"Wales","general term","010120431","Monograph","Language material ; Text","Volume","GB9207037","9780861802814","George, D. John","","person","","George, D. John [person]","The Brecon Beacons National Park : its climate and mountain weather","","","","England","","Meteorological Office","1990","","30 pages","551.60942956","BS26/248","","English",""
"Wales","geographical term","018810189","Monograph","Cartographic image ; Cartographic material ; Text","Sheet","","","Great Britain, Agricultural Development and Advisory Service","","organisation","cartographer","Great Britain, Agricultural Development and Advisory Service, cartographer [organisation]","Hills and uplands classification [Great Britain]","","","","England","","Ministry of Agriculture, Fisheries & Food","1989","","maps, colour, 61 x 112 cm","912.42","Maps X.10721","Map","English","Relief shown by contours and spot heights ; Sheets at various scales"
"Wales, North--Guidebooks","geographical term","014504398","Monograph","Language material ; Text","Volume","GBA810202","9781902302539","Berry, David","1948-","person","","Berry, David, 1948- [person]","Walks in the hidden heart of North Wales, between the Vale of Clwyd and the Snowdonia National Park","Hidden heart of North Wales, between the Vale of Clwyd and the Snowdonia National Park","","","Wales","Machynlleth","Kittiwake","2007","","40 pages, illustrations, maps, 21 cm","","","Guidebook","English","Cover title"
"Wales, North--Guidebooks","geographical term","018566686","Monograph","Language material ; Still image ; Text","Volume","GBB7J9328","9781908748423","Berry, David","1948-","person","","Berry, David, 1948- [person]","Walks in the hidden heart of North Wales : between the Vale of Clwyd and the Snowdonia National Park","Hidden heart of North Wales : between the Vale of Clwyd and the Snowdonia National Park","Kittiwake walks in the","","Wales","Glantwymyn, Machynlleth","Kittiwake","2017","New edition","40 pages, black and white illustrations, black and white maps, 21 cm","","","Guidebook","English","'Twenty-two great circular self-guided walks suitable for all abilities' -- cover ; Cover title"
"Wales, South--Guidebooks","geographical term","015175216","Monograph","Language material ; Text","Volume","GBA944835","9780749562861","Hutton, Tom","","person","","Hutton, Tom [person]","50 walks in Brecon Beacons & South Wales : 50 walks of 2-10 miles","Fifty walks in Brecon Beacons & South Wales","","","England","Basingstoke","","2009","Updated edition","144 pages, illustrations (chiefly colour), colour maps, 22 cm","796.5109424","YK.2011.a.3047","Guidebook","English","Previous edition: 2003"
"Wales, South--Guidebooks","geographical term","015682301","Monograph","Language material ; Text","Volume","GBB1C2536","9780749564308","","","","","Automobile Association (Great Britain) [organisation]","30 walks in the Brecon Beacons and South Wales","Brecon Beacons & South Wales ; Thirty walks in the Brecon Beacons & South Wales","","","England","","Automobile Association","2010","","1 pack, colour illustrations, colour maps, 17 x 12 x 3 cm","796.51094296","Cup.935/1623","Guidebook","English","'Walks of 2 to 10 miles' - back of case ; 31 cards in plastic wallet, held in case ; Title from front of case"
"Wales, South--Guidebooks","geographical term","016433779","Monograph","Cartographic image ; Language material ; Still image ; Text","Volume","GBB355005","9780749574802 ; 9780749575069","Hutton, Tom","","person","author","Hutton, Tom, author [person] ; Wills, Dixe, author [person]","50 walks in Brecon Beacons & South Wales : 50 walks of 2-10 miles","Fifty walks in Brecon Beacons & South Wales","","","England","Basingstoke, Hampshire","AA Publishing","2013","New edition, field checked and updated by Dixe Wills","157 pages, colour illustrations, colour maps, 22 cm","796.5109424","YK.2013.a.25284","Guidebook","English",""
"Wales, South--Pictorial works","geographical term","018886959","Monograph","Language material ; Still image ; Text","Volume","GBB8H9013","9781789261172","Blazer, David","1952-","person","author","Blazer, David, 1952-, author [person]","Legends of the Brecon Beacons : Colouring Book : a colouring book for creatives of all ages with fifteen original illustrations based on local myths and legends of the Brecon Beacons National Park and nearby areas","","","","Wales","","Little Bird Creative","2018","","31 unnumbered pages, black and white illustrations, 22 x 23 cm","","","Pictorial work","English",""
"Wales, West--Religious and ecclesiastical institutions","geographical term","005650822","Monograph","Language material ; Text","Volume","GB9634469","","","","","","Alex Gordon Partnership [organisation] ; Pembrokeshire Coast National Park Authority [organisation]","Redundant religious buildings in West Wales : a review of organisations involved with redundant churches and chapels","","","","Wales","Carmarthen","Alex Gordon Partnership","1993","","3 volumes, illustrations, maps, plans, 31 cm","","","","English",""
"Wales, West--Religious and ecclesiastical institutions","geographical term","008365402","Monograph","Language material ; Text","Volume","GB9617685","","Matthew, Ben","","person","","Matthew, Ben [person] ; Brecon Beacons National Park Authority [organisation]","Redundant religious buildings in West Wales : a brief synopsis of the Alex Gordon Partnership study","","","","Wales","Brecon","Brecon Beacons National Park","1993","","6 pages, 30 cm","","","","English",""
"Wales--Antiquities","geographical term","010987952","Monograph","Language material ; Text","Volume","GB9213640","9780905455310","","","","","National Park Staff Association [organisation] ; White, R. F. [person] ; Yorkshire Dales National Park Committee (North Yorkshire, England) [organisation] ; Iles, Rob [person]","Archaeology in national parks","","","","England","Leyburn, North Yorkshire","National Park Staff Association ; Yorkshire Dales National","1991","","68 pages, illustrations, maps, plans, 30 cm","","","","English",""
"Wales--Antiquities--Guidebooks","geographical term","012687446","Monograph","Language material ; Text","Volume","GB8036991","9780905293042","Van Laun, John","","person","","Gwent (Wales), County Council [organisation] ; Blackmore, Michael, 1938- [person] ; Van Laun, John [person]","The Clydach Gorge : industrial archaeology trails in a north Gwent valley","","","","Wales","Brecon ; Cwmbran ; National Park Officer, Glamorgan Street, Brecon, Powys","Brecon Beacons National Park Committee ; Gwent County Council","1979","","24, 4 pages (4 folded), illustrations, 2 colour maps, coat of arms, 21 cm","609.42995","BS.116/169","Guidebook","English",""
"Wales--Antiquities--Guidebooks","geographical term","012687447","Monograph","Language material ; Text","Volume","GB8231036","9780905293059","Van Laun, John","","person","","Van Laun, John [person]","The Clydach Gorge : industrial archaeology trails in a north Gwent valley","","","","Wales","Brecon","Brecon Beacons National Park Committee ; Gwent County Council","1980","2nd edition","24 pages, illustrations, 2 colour maps","609.42995","X.809/52622","Guidebook","English","Cover title ; Previous edition: 1980 ; Text and illustrations on inside folded cover"
"Wales--Churches--Catalogues","general term","008815568","Monograph","Language material ; Text","Volume","GB8950484","9780950673318","Hughes, H. Harold (Henry Harold)","1864-1940","person","","Snowdonia National Park Society [organisation] ; Hughes, H. Harold (Henry Harold), 1864-1940 [person] ; North, Herbert L. (Herbert Luck), 1871-1941 [person]","The old Churches of Snowdonia","","","","Wales","Capel Curig","Snowdonia National Park Society","1984","Reissue, additional materials Snowdonia National Park Society","xxx, 309, 35 leaves of plates (1 folded), illustrations, plans, 20 cm","914.2904858","1551/705","","English","Authors: Harold Hughes and Herbert L. North ; Maps on lining papers ; Previous edition: Bangor : Jarvis & Foster, 1924"
"Wales--Forestry--Environmental aspects--Conference proceedings","general term","008147360","Monograph","Language material ; Text","Volume","GB8722576","9781870393027","","","","","Institute of Terrestrial Ecology [organisation] ; Good, J. E. G. [person]","Environmental aspects of plantation forestry in Wales : proceedings of a symposium held at the Snowdonia National Park Study Centre, Plas Tan-y-Bwlch, Maentwrog, Gwynedd, north Wales, 20-21 November 1986","","ITE symposium","number 22 [ITE symposium]","England","Grange-over-Sands","Institute of Terrestrial Ecology","1987","","77 pages, illustrations, 2 maps, 30 cm","634.909429","BS.429/13","","English","At head of title: National Environment Research Council"
"Wales--Maps","geographical term","018136674","Monograph","Cartographic image ; Cartographic material ; Text","Sheet","","","","","","","","The National Park Mountain Centre : a centre in superb surroundings, where at any time of the year you can enjoy relaxation and refreshment - for half an hour or all day - and canfind out about the rest of the Brecon Beacons National Park: Parc Cenedlaethol Bannau Brycheiniog","","","","Wales","Brecon, Powys","Mountain Centre","1993","","1 map, colour, on sheet 21 x 29 cm, folded to 21 x 10 cm","912.4295","Maps X.10539","Map","English","Date taken from BL LD stamp ; Includes visitor tourist information ; Parc Cenedlaethol Bannau Brycheiniog = Mountain Centre : National Park Visitor Centre, Brecon Beacons National Park"
"Wales--Snowdon","geographical term","019512646","Monograph","Language material ; Still image ; Text","Volume","GBB9E3259","9781845276997","Taylor, Aled","1946-","person","author","Taylor, Aled, 1946-, author [person] ; Jones, Tudur Huws, author [person]","Ceidwad y Mynydd","","","","Wales","Llanrwst","Gwasg Carreg Gwalch","2019","","198 pages, illustrations (black and white and colour), 20 cm","363.68092","YKL.2021.a.1130","Biography","Welsh","'Atgofion Warden year Wyddfa a Thîm Achub Mynydd Llanberis'--clawr=cover"
